date,MOP1,MOP2,method,folder_name,full_path,dem_path
20191024,568,636,VMZ2000_Truck,20191024_00568_00636_NoWaves_Torrey_DelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191024_00568_00636_NoWaves_Torrey_DelMar/Beach_And_Backshore/20191024_00568_00636_NoWaves_Torrey_DelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191024_00568_00636_NoWaves_Torrey_DelMar/Beach_And_Backshore/20191024_00568_00636_NoWaves_Torrey_DelMar_beach_cliff_ground.tif
20191029,568,636,VMZ2000_Truck,20191029_00568_00636_NoWaves_Torrey_DelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191029_00568_00636_NoWaves_Torrey_DelMar/Beach_And_Backshore/20191029_00568_00636_NoWaves_Torrey_DelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191029_00568_00636_NoWaves_Torrey_DelMar/Beach_And_Backshore/20191029_00568_00636_NoWaves_Torrey_DelMar_beach_cliff_ground.tif
20191105,567,638,VMZ2000_Truck,20191105_00567_00638_2150_NoWaves_Torrey_DelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191105_00567_00638_2150_NoWaves_Torrey_DelMar/Beach_And_Backshore/20191105_00567_00638_2150_NoWaves_Torrey_DelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191105_00567_00638_2150_NoWaves_Torrey_DelMar/Beach_And_Backshore/20191105_00567_00638_2150_NoWaves_Torrey_DelMar_beach_cliff_ground.tif
20191112,519,636,VMZ2000_Truck,20191112_00519_00636_NoWaves_Blacks_Torrey_DelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191112_00519_00636_NoWaves_Blacks_Torrey_DelMar/Beach_And_Backshore/20191112_00519_00636_NoWaves_Blacks_Torrey_DelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191112_00519_00636_NoWaves_Blacks_Torrey_DelMar/Beach_And_Backshore/20191112_00519_00636_NoWaves_Blacks_Torrey_DelMar_beach_cliff_ground.tif
20191113,637,707,VMZ2000_Truck,20191113_00637_00707_NoWaves_SolanaCardiffSanElijo,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191113_00637_00707_NoWaves_SolanaCardiffSanElijo/Beach_And_Backshore/20191113_00637_00707_NoWaves_SolanaCardiffSanElijo_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191113_00637_00707_NoWaves_SolanaCardiffSanElijo/Beach_And_Backshore/20191113_00637_00707_NoWaves_SolanaCardiffSanElijo_beach_cliff_ground.tif
20191118,568,636,VMZ2000_Truck,20191118_00568_00636_NoWaves_Torrey_DelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191118_00568_00636_NoWaves_Torrey_DelMar/Beach_And_Backshore/20191118_00568_00636_NoWaves_Torrey_DelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191118_00568_00636_NoWaves_Torrey_DelMar/Beach_And_Backshore/20191118_00568_00636_NoWaves_Torrey_DelMar_beach_cliff_ground.tif
20191122,567,636,VMZ2000_Truck,20191122_00567_00636_NoWaves_Torrey_DelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191122_00567_00636_NoWaves_Torrey_DelMar/Beach_And_Backshore/20191122_00567_00636_NoWaves_Torrey_DelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191122_00567_00636_NoWaves_Torrey_DelMar/Beach_And_Backshore/20191122_00567_00636_NoWaves_Torrey_DelMar_beach_cliff_ground.tif
20191126,568,636,VMZ2000_Truck,20191126_00568_00636_NoWaves_Torrey_DelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191126_00568_00636_NoWaves_Torrey_DelMar/Beach_And_Backshore/20191126_00568_00636_NoWaves_Torrey_DelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191126_00568_00636_NoWaves_Torrey_DelMar/Beach_And_Backshore/20191126_00568_00636_NoWaves_Torrey_DelMar_beach_cliff_ground.tif
20191202,567,639,VMZ2000_Truck,20191202_00567_00639_1750_NoWaves_Torrey_DelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191202_00567_00639_1750_NoWaves_Torrey_DelMar/Beach_And_Backshore/20191202_00567_00639_1750_NoWaves_Torrey_DelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191202_00567_00639_1750_NoWaves_Torrey_DelMar/Beach_And_Backshore/20191202_00567_00639_1750_NoWaves_Torrey_DelMar_beach_cliff_ground.tif
20191206,568,636,VMZ2000_Truck,20191206_00568_00636_1200_NoWaves_TorreyDelMar_Failure,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191206_00568_00636_1200_NoWaves_TorreyDelMar_Failure/Beach_And_Backshore/20191206_00568_00636_1200_NoWaves_TorreyDelMar_Failure_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191206_00568_00636_1200_NoWaves_TorreyDelMar_Failure/Beach_And_Backshore/20191206_00568_00636_1200_NoWaves_TorreyDelMar_Failure_beach_cliff_ground.tif
20191206,568,636,VMZ2000_Truck,20191206_00568_00636_2009_NoWaves_TorreyDelMar_2009,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191206_00568_00636_2009_NoWaves_TorreyDelMar_2009/Beach_And_Backshore/20191206_00568_00636_2009_NoWaves_TorreyDelMar_2009_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191206_00568_00636_2009_NoWaves_TorreyDelMar_2009/Beach_And_Backshore/20191206_00568_00636_2009_NoWaves_TorreyDelMar_2009_beach_cliff_ground.tif
20191207,568,636,VMZ2000_Truck,20191207_00568_00636_2221_NoWaves_TorreyDelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191207_00568_00636_2221_NoWaves_TorreyDelMar/Beach_And_Backshore/20191207_00568_00636_2221_NoWaves_TorreyDelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191207_00568_00636_2221_NoWaves_TorreyDelMar/Beach_And_Backshore/20191207_00568_00636_2221_NoWaves_TorreyDelMar_beach_cliff_ground.tif
20191207,568,636,VMZ2000_Truck,20191207_00568_00636_1215_NoWaves_TorreyDelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191207_00568_00636_1215_NoWaves_TorreyDelMar/Beach_And_Backshore/20191207_00568_00636_1215_NoWaves_TorreyDelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191207_00568_00636_1215_NoWaves_TorreyDelMar/Beach_And_Backshore/20191207_00568_00636_1215_NoWaves_TorreyDelMar_beach_cliff_ground.tif
20191208,568,636,VMZ2000_Truck,20191208_00568_00636_1150_NoWaves_TorreyDelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191208_00568_00636_1150_NoWaves_TorreyDelMar/Beach_And_Backshore/20191208_00568_00636_1150_NoWaves_TorreyDelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191208_00568_00636_1150_NoWaves_TorreyDelMar/Beach_And_Backshore/20191208_00568_00636_1150_NoWaves_TorreyDelMar_beach_cliff_ground.tif
20191208,568,636,VMZ2000_Truck,20191208_00568_00636_2250_NoWaves_TorreyDelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191208_00568_00636_2250_NoWaves_TorreyDelMar/Beach_And_Backshore/20191208_00568_00636_2250_NoWaves_TorreyDelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191208_00568_00636_2250_NoWaves_TorreyDelMar/Beach_And_Backshore/20191208_00568_00636_2250_NoWaves_TorreyDelMar_beach_cliff_ground.tif
20191209,568,636,VMZ2000_Truck,20191209_00568_00636_2304_NoWaves_TorreyDelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191209_00568_00636_2304_NoWaves_TorreyDelMar/Beach_And_Backshore/20191209_00568_00636_2304_NoWaves_TorreyDelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191209_00568_00636_2304_NoWaves_TorreyDelMar/Beach_And_Backshore/20191209_00568_00636_2304_NoWaves_TorreyDelMar_beach_cliff_ground.tif
20191209,568,636,VMZ2000_Truck,20191209_00568_00636_1201_NoWaves_TorreyDelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191209_00568_00636_1201_NoWaves_TorreyDelMar/Beach_And_Backshore/20191209_00568_00636_1201_NoWaves_TorreyDelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191209_00568_00636_1201_NoWaves_TorreyDelMar/Beach_And_Backshore/20191209_00568_00636_1201_NoWaves_TorreyDelMar_beach_cliff_ground.tif
